"Börsdata ID";"Company";"Stock price - Current";"Info - Price Currency";"Info - Country";"Info - Ticker";"Info - Sector";"Market Cap - Current SEK";"P/E - Current";"Earnings/share - Growth 1y";"PEG - Current";"ROC - Current";"Rel. Perform - Perform. 1y"
"474";"OptiCept Technologies";"2.18";"SEK";"Sweden";"OPTI";"Food and Beverage";"187.0";"-2.5";"25.0%";;"-16.1%";"-66.4%"
"1894";"Optomed";"2.46";"EUR";"Finland";"OPTOMED";"Health Care";"592.3";"-7.3";"-16.0%";;"-39.1%";"-43.0%"
"170";"Orexo";"22.75";"SEK";"Sweden";"ORX";"Health Care";"845.3";"-2.0";"-97.0%";;"-465.9%";"45.0%"
"605";"OrganoClick";"1.39";"SEK";"Sweden";"ORGC";"Materials";"153.5";"-3.9";"-96.6%";;"-75.8%";"-46.0%"
"706";"Oriola";"1.02";"EUR";"Finland";"ORIOLA";"Food and Beverage";"2108.9";"-6.8";"-35.4%";;"66.7%";"-17.6%"
"689";"Orion B";"69.80";"EUR";"Finland";"ORNBV";"Health Care";"110332.9";"19.6";"51.2%";"0.4";"49.0%";"16.2%"
"944";"Orkla";"114.90";"NOK";"Norway";"ORK";"Food and Beverage";"118516.3";"16.8";"12.4%";"1.4";"10.0%";"-3.5%"
"132";"Orrön Energy";"7.39";"SEK";"Sweden";"ORRON";"Utilities";"2112.8";"-7.4";"-96.2%";;"-6.3%";"43.4%"
"1324";"Orsted";"141.80";"DKK";"Denmark";"ORSTED";"Utilities";"282892.3";"70.9";"191.1%";"0.4";"3.5%";"-65.5%"
"2065";"Ortelius International";"0.43";"SEK";"Sweden";"ORTIN";"Consumer Durables";"31.4";"-0.0";"-1620.4%";;;"-100.5%"
"2110";"Orthex";"4.55";"EUR";"Finland";"ORTHEX";"Consumer Durables";"905.0";"11.9";"10.9%";"1.1";"18.5%";"-20.5%"
"172";"Ortivus B";"1.39";"SEK";"Sweden";"ORTI B";"Health Care";"123.6";"-5.7";"56.1%";;"-62.6%";"-32.7%"
"475";"Ortoma";"7.86";"SEK";"Sweden";"ORT B";"Health Care";"291.5";"-15.2";"-226.5%";;"-16.0%";"-33.8%"
"1845";"OssDsign";"6.04";"SEK";"Sweden";"OSSD";"Health Care";"668.2";"-13.1";"9.5%";;"-27.3%";"-57.5%"
"1279";"Ostasiatiske";"7200.00";"DKK";"Denmark";"OKEAC";"Industrials";"108.7";"-22.4";"-68.4%";;"-10.0%";"-31.7%"
